,dtype,n_null,n_zero,n_unique,sample_values,describe
탈회횟수_발급6개월이내,int64,0,2302195,2,[0 1],"count    2.400000e+06
mean     4.075208e-02
std      1.977154e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.000000e+00
Name: 탈회횟수_발급6개월이내, dtype: float64"
탈회횟수_발급1년이내,int64,0,2245718,2,[0 1],"count    2.400000e+06
mean     6.428417e-02
std      2.452585e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.000000e+00
Name: 탈회횟수_발급1년이내, dtype: float64"
거주시도명,object,0,,17,['서울' '경기' '부산' '광주' '대전'],
직장시도명,object,244969,,17,['서울' '경기' '부산' '광주' None],
마케팅동의여부,int64,0,455983,2,[1 0],"count    2.400000e+06
mean     8.100071e-01
std      3.922954e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 마케팅동의여부, dtype: float64"
유효카드수_신용체크,int64,0,29233,9,[2 1 3 7 5],"count    2.400000e+06
mean     2.089781e+00
std      1.235733e+00
min      0.000000e+00
25%      1.000000e+00
50%      2.000000e+00
75%      3.000000e+00
max      8.000000e+00
Name: 유효카드수_신용체크, dtype: float64"
유효카드수_신용,int64,0,41303,6,[1 2 4 3 0],"count    2.400000e+06
mean     1.526597e+00
std      8.799396e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      2.000000e+00
max      5.000000e+00
Name: 유효카드수_신용, dtype: float64"
유효카드수_신용_가족,int64,0,2331548,3,[0 1 2],"count    2.400000e+06
mean     3.648667e-02
std      2.260208e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      2.000000e+00
Name: 유효카드수_신용_가족, dtype: float64"
유효카드수_체크,int64,0,1436752,4,[1 0 3 2],"count    2.400000e+06
mean     5.631846e-01
std      8.010824e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      1.000000e+00
max      3.000000e+00
Name: 유효카드수_체크, dtype: float64"
유효카드수_체크_가족,int64,0,2399964,3,[0 1 2],"count    2.400000e+06
mean     1.541667e-05
std      4.031100e-03
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      2.000000e+00
Name: 유효카드수_체크_가족, dtype: float64"
이용가능카드수_신용체크,int64,0,111452,9,[2 1 3 7 5],"count    2.400000e+06
mean     1.968644e+00
std      1.254277e+00
min      0.000000e+00
25%      1.000000e+00
50%      2.000000e+00
75%      3.000000e+00
max      8.000000e+00
Name: 이용가능카드수_신용체크, dtype: float64"
이용가능카드수_신용,int64,0,188157,6,[1 2 4 0 3],"count    2.400000e+06
mean     1.408965e+00
std      9.192817e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      2.000000e+00
max      5.000000e+00
Name: 이용가능카드수_신용, dtype: float64"
이용가능카드수_신용_가족,int64,0,2331859,3,[0 1 2],"count    2.400000e+06
mean     3.632333e-02
std      2.255360e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      2.000000e+00
Name: 이용가능카드수_신용_가족, dtype: float64"
이용가능카드수_체크,int64,0,1439532,4,[1 0 3 2],"count    2.400000e+06
mean     5.596788e-01
std      7.976405e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      1.000000e+00
max      3.000000e+00
Name: 이용가능카드수_체크, dtype: float64"
이용가능카드수_체크_가족,int64,0,2399983,3,[0 1 2],"count    2.400000e+06
mean     8.333333e-06
std      3.291393e-03
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      2.000000e+00
Name: 이용가능카드수_체크_가족, dtype: float64"
이용카드수_신용체크,int64,0,433328,7,[1 0 2 5 3],"count    2.400000e+06
mean     1.334909e+00
std      9.995726e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      2.000000e+00
max      6.000000e+00
Name: 이용카드수_신용체크, dtype: float64"
이용카드수_신용,int64,0,492003,6,[1 0 2 4 3],"count    2.400000e+06
mean     1.174823e+00
std      8.997698e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      2.000000e+00
max      5.000000e+00
Name: 이용카드수_신용, dtype: float64"
이용카드수_신용_가족,int64,0,2336994,3,[0 1 2],"count    2.400000e+06
mean     3.360708e-02
std      2.172253e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      2.000000e+00
Name: 이용카드수_신용_가족, dtype: float64"
이용카드수_체크,int64,0,2022815,3,[0 1 2],"count    2.400000e+06
mean     1.600867e-01
std      3.745817e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      2.000000e+00
Name: 이용카드수_체크, dtype: float64"
이용카드수_체크_가족,int64,0,2400000,1,[0],"count    2400000.0
mean           0.0
std            0.0
min            0.0
25%            0.0
50%            0.0
75%            0.0
max            0.0
Name: 이용카드수_체크_가족, dtype: float64"
이용금액_R3M_신용체크,int64,0,442011,124193,[  196 13475 23988  3904  1190],"count    2.400000e+06
mean     1.693745e+04
std      2.324759e+04
min     -8.749000e+03
25%      4.320000e+02
50%      8.879000e+03
75%      2.179300e+04
max      2.351950e+05
Name: 이용금액_R3M_신용체크, dtype: float64"
이용금액_R3M_신용,int64,0,490631,120246,[  196 13475 23988  3904     0],"count    2.400000e+06
mean     1.528683e+04
std      2.189835e+04
min     -8.749000e+03
25%      0.000000e+00
50%      7.681000e+03
75%      1.956800e+04
max      1.637060e+05
Name: 이용금액_R3M_신용, dtype: float64"
이용금액_R3M_신용_가족,int64,0,2335856,12226,[    0  7561 11308  8923 10153],"count    2.400000e+06
mean     2.808487e+02
std      1.764876e+03
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      5.319900e+04
Name: 이용금액_R3M_신용_가족, dtype: float64"
이용금액_R3M_체크,int64,0,2020979,54673,[    0  1190  3687  4256 31316],"count    2.400000e+06
mean     1.650562e+03
std      7.528216e+03
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.632500e+05
Name: 이용금액_R3M_체크, dtype: float64"
이용금액_R3M_체크_가족,int64,0,2400000,1,[0],"count    2400000.0
mean           0.0
std            0.0
min            0.0
25%            0.0
50%            0.0
75%            0.0
max            0.0
Name: 이용금액_R3M_체크_가족, dtype: float64"
_1순위카드이용금액,int64,0,491101,81963,[ 3681 13323 24493  5933     0],"count    2.400000e+06
mean     1.102085e+04
std      1.409002e+04
min     -3.925000e+03
25%      0.000000e+00
50%      6.255000e+03
75%      1.597900e+04
max      1.185070e+05
Name: _1순위카드이용금액, dtype: float64"
_1순위카드이용건수,int64,0,65256,227,[26 46 28  1 -2],"count    2.400000e+06
mean     3.934575e+01
std      5.100092e+01
min     -2.000000e+00
25%      1.000000e+00
50%      1.700000e+01
75%      6.100000e+01
max      2.240000e+02
Name: _1순위카드이용건수, dtype: float64"
_1순위신용체크구분,object,27950,,2,['신용' None '체크'],
_2순위카드이용금액,int64,0,1711749,53948,[    0  3196 38051  9942 23326],"count    2.400000e+06
mean     3.372412e+03
std      7.707608e+03
min     -4.042000e+03
25%      0.000000e+00
50%      0.000000e+00
75%      3.201000e+03
max      8.496600e+04
Name: _2순위카드이용금액, dtype: float64"
_2순위카드이용건수,int64,0,1713170,209,[  0  25 128  44 100],"count    2.400000e+06
mean     1.432118e+01
std      2.971015e+01
min     -1.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      1.600000e+01
max      2.090000e+02
Name: _2순위카드이용건수, dtype: float64"
_2순위신용체크구분,object,958115,,2,['체크' None '신용'],
최종유효년월_신용_이용가능,float64,210447,0,74,[202110. 202112. 202111. 202201. 202002.],"count    2.189553e+06
mean     2.021508e+05
std      1.178146e+02
min      2.018050e+05
25%      2.021020e+05
50%      2.022020e+05
75%      2.022100e+05
max      2.024060e+05
Name: 최종유효년월_신용_이용가능, dtype: float64"
최종유효년월_신용_이용,float64,534231,0,72,[202112. 202204. 202201. 202111.     nan],"count    1.865769e+06
mean     2.021529e+05
std      1.102407e+02
min      2.018070e+05
25%      2.021030e+05
50%      2.022020e+05
75%      2.022100e+05
max      2.024060e+05
Name: 최종유효년월_신용_이용, dtype: float64"
최종카드발급일자,float64,41965,0,1939,[20160912. 20170122. 20161113. 20170205. 20170409.],"count    2.358035e+06
mean     2.016491e+07
std      1.153016e+04
min      2.013053e+07
25%      2.016030e+07
50%      2.017021e+07
75%      2.017102e+07
max      2.018123e+07
Name: 최종카드발급일자, dtype: float64"
보유여부_해외겸용_본인,int64,0,523098,2,[0 1],"count    2.400000e+06
mean     7.820425e-01
std      4.128584e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 보유여부_해외겸용_본인, dtype: float64"
이용가능여부_해외겸용_본인,int64,0,590609,2,[0 1],"count    2.400000e+06
mean     7.539129e-01
std      4.307300e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 이용가능여부_해외겸용_본인, dtype: float64"
이용여부_3M_해외겸용_본인,int64,0,947040,2,[0 1],"count    2.400000e+06
mean     6.054000e-01
std      4.887647e-01
min      0.000000e+00
25%      0.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 이용여부_3M_해외겸용_본인, dtype: float64"
보유여부_해외겸용_신용_본인,int64,0,761693,2,[0 1],"count    2.400000e+06
mean     6.826279e-01
std      4.654537e-01
min      0.000000e+00
25%      0.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 보유여부_해외겸용_신용_본인, dtype: float64"
이용가능여부_해외겸용_신용_본인,int64,0,873884,2,[0 1],"count    2.400000e+06
mean     6.358817e-01
std      4.811822e-01
min      0.000000e+00
25%      0.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 이용가능여부_해외겸용_신용_본인, dtype: float64"
이용여부_3M_해외겸용_신용_본인,int64,0,1076484,2,[0 1],"count    2.400000e+06
mean     5.514650e-01
std      4.973444e-01
min      0.000000e+00
25%      0.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 이용여부_3M_해외겸용_신용_본인, dtype: float64"
연회비발생카드수_B0M,object,0,,2,['0개' '1개이상'],
연회비할인카드수_B0M,int64,0,2400000,1,[0],"count    2400000.0
mean           0.0
std            0.0
min            0.0
25%            0.0
50%            0.0
75%            0.0
max            0.0
Name: 연회비할인카드수_B0M, dtype: float64"
기본연회비_B0M,int64,0,2396961,14,[  0 106 109 108 105],"count    2.400000e+06
mean     1.264900e-01
std      3.620626e+00
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.110000e+02
Name: 기본연회비_B0M, dtype: float64"
제휴연회비_B0M,int64,0,2399128,8,[  0 950 949  30 149],"count    2.400000e+06
mean     3.424083e-01
std      1.802358e+01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      9.510000e+02
Name: 제휴연회비_B0M, dtype: float64"
할인금액_기본연회비_B0M,int64,0,2400000,1,[0],"count    2400000.0
mean           0.0
std            0.0
min            0.0
25%            0.0
50%            0.0
75%            0.0
max            0.0
Name: 할인금액_기본연회비_B0M, dtype: float64"
할인금액_제휴연회비_B0M,int64,0,2400000,1,[0],"count    2400000.0
mean           0.0
std            0.0
min            0.0
25%            0.0
50%            0.0
75%            0.0
max            0.0
Name: 할인금액_제휴연회비_B0M, dtype: float64"
청구금액_기본연회비_B0M,int64,0,2396961,14,[  0 106 109 108 105],"count    2.400000e+06
mean     1.264900e-01
std      3.620626e+00
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.110000e+02
Name: 청구금액_기본연회비_B0M, dtype: float64"
청구금액_제휴연회비_B0M,int64,0,2399128,8,[  0 950 949  30 149],"count    2.400000e+06
mean     3.424083e-01
std      1.802358e+01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      9.510000e+02
Name: 청구금액_제휴연회비_B0M, dtype: float64"
상품관련면제카드수_B0M,object,0,,1,['0개'],
임직원면제카드수_B0M,object,0,,1,['0개'],
우수회원면제카드수_B0M,object,0,,1,['0개'],
기타면제카드수_B0M,object,0,,1,['0개'],
카드신청건수,int64,0,2189218,2,[0 1],"count    2.400000e+06
mean     8.782583e-02
std      2.830415e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.000000e+00
Name: 카드신청건수, dtype: float64"
Life_Stage,object,0,,7,['자녀성장(2)' '자녀성장(1)' '자녀출산기' '독신' '노년생활'],
최종카드발급경과월,int64,0,78140,68,[22 18 20 17 15],"count    2.400000e+06
mean     2.145997e+01
std      1.378313e+01
min      0.000000e+00
25%      1.100000e+01
50%      1.900000e+01
75%      3.100000e+01
max      6.700000e+01
Name: 최종카드발급경과월, dtype: float64"
